YYYYMMDD,Precipitation duration (hour),Daily precipitation (mm),Maximum hourly precipitation (mm)
19340714,0.4,3.5,3.5
19340715,1.2,1.3,0.7
19340721,0.7,2.0,2.0
19340724,1.5,1.2,0.7
19340726,1.8,8.0,4.9
19340727,0.1,0.1,0.1
19340728,1.8,2.8,1.1
19340729,3.6,25.6,11.1
19340730,0.1,0.2,0.2
19340731,2.8,7.1,4.4
19340801,1.6,6.1,3.1
19340802,3.7,11.3,5.0
19340804,4.8,2.5,0.7
19340809,1.8,5.4,4.7
19340811,0.4,1.2,0.5
19340812,5.8,37.9,20.9
19340813,3.9,19.3,6.9
19340814,0.3,1.3,1.3
19340817,0.2,0.3,0.2
19340823,0.8,1.6,1.1
19340824,0.5,0.3,0.2
19340829,6.1,8.4,2.7
19340830,1.4,5.9,2.9
19340831,0.3,1.1,0.4
19340903,0.6,1.4,0.8
19340908,0.4,4.6,4.6
19340909,1.9,3.5,2.4
19340917,0.3,0.6,0.6
19340918,1.6,6.6,3.2
19340919,4.8,5.5,2.5
19340920,2.1,2.9,0.9
19340921,0.8,2.9,1.6
19340922,5.0,9.4,3.5
19340923,1.3,1.9,1.5
19340924,1.3,1.2,0.5
19340927,0.8,0.6,0.4
19340930,0.2,0.2,0.2
19341001,0.3,0.3,0.1
19341002,2.2,4.5,1.9
19341004,0.6,0.8,0.5
19341005,1.2,2.6,1.7
19341006,1.3,5.4,3.8
19341007,2.7,3.2,2.4
19341008,8.2,18.4,5.5
19341009,5.1,11.2,3.5
19341010,2.8,1.8,0.8
19341011,1.9,1.1,0.5
19341013,0.3,0.3,0.3
19341014,2.6,3.2,1.5
19341015,6.6,12.3,2.1
19341016,2.3,3.0,0.6
19341017,4.7,11.4,3.5
19341018,2.3,1.5,0.5
19341022,0.3,0.3,0.2
19341023,1.8,3.7,3.0
19341026,0.4,0.2,0.2
19341027,0.3,0.3,0.2
19341028,2.9,5.9,3.1
19341029,0.7,2.3,1.8
19341030,2.3,5.1,2.1
